match_id,date,kickoff_time_utc,stage_name,stadium_name,city,country,home_team_name,home_fifa_code,away_team_name,away_fifa_code,home_score,away_score,status,home_xg_x,away_xg_x,home_goalkeeper,away_goalkeeper,player_of_the_match_name,referee_name,referee_id_x,referee_name_full,referee_country,avg_cards_per_game,home_xg_y,away_xg_y,referee_id_y,player_of_the_match_id,capacity,latitude,longitude,elevation_meters,total_goals,is_completed
73,2026-06-29,12:00,Round of 32,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,South Africa,RSA,Canada,CAN,0.0,1.0,Completed,0.13,1.32,Ronwen Hayden Williams,Maxime Crepeau,Stephen Eustaquio,César Arturo Ramos,9,César Arturo Ramos,Mexico,4.0,0.13,1.32,9,111.0,70240,33.9535,-118.339,30,1.0,1
74,2026-06-29,23:00,Round of 32,Houston Stadium (NRG Stadium),Houston,USA,Brazil,BRA,Japan,JPN,,,Scheduled,,,,,,Ivan Barton,10,Ivan Barton,El Salvador,5.1,,,10,,72220,29.6847,-95.4082,14,0.0,0
75,2026-06-30,02:30,Round of 32,Boston Stadium (Gillette Stadium),Foxborough,USA,Germany,GER,Paraguay,PAR,,,Scheduled,,,,,,Mustapha Ghorbal,11,Mustapha Ghorbal,Algeria,3.7,,,11,,65878,42.0909,-71.2643,87,0.0,0
76,2026-06-30,07:00,Round of 32,Monterrey Stadium (Estadio BBVA),Guadalupe,MEX,Netherlands,NED,Morocco,MAR,,,Scheduled,,,,,,Victor Gomes,12,Victor Gomes,South Africa,4.3,,,12,,53500,25.669,-100.2444,538,0.0,0
77,2026-06-30,23:00,Round of 32,Dallas Stadium (AT&T Stadium),Arlington,USA,Côte d'Ivoire,CIV,Norway,NOR,,,Scheduled,,,,,,Ma Ning,13,Ma Ning,China,5.5,,,13,,80000,32.7473,-97.0928,184,0.0,0
78,2026-07-01,03:00,Round of 32,New York New Jersey Stadium (MetLife Stadium),East Rutherford,USA,France,FRA,Sweden,SWE,,,Scheduled,,,,,,Alireza Faghani,14,Alireza Faghani,Australia,4.2,,,14,,82500,40.8136,-74.0744,7,0.0,0
79,2026-07-01,07:00,Round of 32,Mexico City Stadium (Estadio Azteca),Mexico City,MEX,Mexico,MEX,Ecuador,ECU,,,Scheduled,,,,,,Yoshimi Yamashita,15,Yoshimi Yamashita,Japan,3.4,,,15,,80824,19.3031,-99.1506,2200,0.0,0
80,2026-07-01,22:00,Round of 32,Atlanta Stadium (Mercedes-Benz Stadium),Atlanta,USA,England,ENG,Congo DR,COD,,,Scheduled,,,,,,Facundo Tello,16,Facundo Tello,Argentina,5.0,,,16,,71000,33.7553,-84.4017,318,0.0,0
81,2026-07-02,02:00,Round of 32,Seattle Stadium (Lumen Field),Seattle,USA,Belgium,BEL,Senegal,SEN,,,Scheduled,,,,,,Szymon Marciniak,1,Szymon Marciniak,Poland,4.2,,,1,,69000,47.5952,-122.3316,3,0.0,0
82,2026-07-02,06:00,Round of 32,San Francisco Bay Area Stadium (Levi's Stadium),Santa Clara,USA,USA,USA,Bosnia and Herzegovina,BIH,,,Scheduled,,,,,,Daniele Orsato,2,Daniele Orsato,Italy,4.8,,,2,,68500,37.4033,-121.9698,8,0.0,0
83,2026-07-03,01:00,Round of 32,Los Angeles Stadium (SoFi Stadium),Inglewood,USA,Spain,ESP,Austria,AUT,,,Scheduled,,,,,,Michael Oliver,3,Michael Oliver,England,3.9,,,3,,70240,33.9535,-118.339,30,0.0,0
84,2026-07-03,05:00,Round of 32,Toronto Stadium (BMO Field),Toronto,CAN,Portugal,POR,Croatia,CRO,,,Scheduled,,,,,,Anthony Taylor,4,Anthony Taylor,England,4.1,,,4,,30000,43.6328,-79.4186,76,0.0,0
85,2026-07-03,09:00,Round of 32,Vancouver Stadium (BC Place),Vancouver,CAN,Switzerland,SUI,Algeria,ALG,,,Scheduled,,,,,,Clément Turpin,5,Clément Turpin,France,3.6,,,5,,54500,49.2768,-123.112,9,0.0,0
86,2026-07-04,00:00,Round of 32,Dallas Stadium (AT&T Stadium),Arlington,USA,Australia,AUS,Egypt,EGY,,,Scheduled,,,,,,Danny Makkelie,6,Danny Makkelie,Netherlands,3.8,,,6,,80000,32.7473,-97.0928,184,0.0,0
87,2026-07-04,04:00,Round of 32,Miami Stadium (Hard Rock Stadium),Miami Gardens,USA,Argentina,ARG,Cabo Verde,CPV,,,Scheduled,,,,,,Jesús Valenzuela,7,Jesús Valenzuela,Venezuela,4.9,,,7,,64767,25.9581,-80.2389,2,0.0,0
88,2026-07-04,07:30,Round of 32,Kansas City Stadium (Arrowhead Stadium),Kansas City,USA,Colombia,COL,Ghana,GHA,,,Scheduled,,,,,,Wilton Sampaio,8,Wilton Sampaio,Brazil,4.5,,,8,,76416,39.0489,-94.4839,264,0.0,0
89,2026-07-04,23:00,Round of 16,Houston Stadium (NRG Stadium),Houston,USA,Canada,CAN,Unknown,UNK,,,Scheduled,,,,,,César Arturo Ramos,9,César Arturo Ramos,Mexico,4.0,,,9,,72220,29.6847,-95.4082,14,0.0,0
