player_name,full_name,national_team,position,pos_group,age_2026,overall_rating,national_rating,finishing,positioning,sprint_speed,dribbling,vision,age_factor,goal_prob_per_game,expected_games,expected_goals,expected_assists,expected_g_plus_a,confederation,group
G. Wijnaldum,Georginio Wijnaldum,Netherlands,"CM,CDM",Midfielder,35,83,81.0,70,78,76,84,78,0.72,0.1095,6.0,0.66,1.69,2.35,UEFA,D
V. Fischer,Viktor Fischer,Denmark,"LM,ST",Midfielder,31,77,78.0,75,75,83,79,77,0.95,0.1446,4.5,0.65,1.18,1.83,UEFA,B
G. Pereiro,Gastón Rodrigo Pereiro López,Uruguay,"CAM,RW",Midfielder,30,77,81.0,73,75,75,79,77,0.95,0.1446,4.5,0.65,1.18,1.84,CONMEBOL,G
William Carvalho,William Silva de Carvalho,Portugal,"CDM,CM",Midfielder,33,83,82.0,52,64,67,78,81,0.85,0.1082,6.0,0.65,1.71,2.36,UEFA,G
J. Rodríguez,James David Rodríguez Rubio,Colombia,"CAM,CM,RM",Midfielder,34,87,79.0,83,80,67,85,88,0.85,0.1417,4.5,0.64,1.37,2.01,CONMEBOL,F
K. Strootman,Kevin Strootman,Netherlands,"CDM,CM",Midfielder,36,82,81.0,68,78,66,75,79,0.72,0.1065,6.0,0.64,1.71,2.35,UEFA,D
C. Eriksen,Christian  Dannemann Eriksen,Denmark,"CAM,RM,CM",Midfielder,34,88,78.0,81,84,73,84,91,0.85,0.1418,4.5,0.64,1.42,2.05,UEFA,B
F. Valverde,Federico Valverde,Uruguay,"CM,LM,CAM",Midfielder,27,76,81.0,67,64,70,71,78,1.0,0.1391,4.5,0.63,1.24,1.87,CONMEBOL,G
E. Dier,Eric Dier,England,"CDM,CB,CM",Midfielder,32,80,82.0,52,53,68,65,67,0.85,0.104,6.0,0.62,1.51,2.14,UEFA,E
J. Henderson,Jordan Brian Henderson,England,"CDM,CM",Midfielder,35,82,82.0,67,75,66,73,83,0.72,0.1041,6.0,0.62,1.73,2.36,UEFA,E
D. Payet,Dimitri  Payet,France,"CAM,LM",Midfielder,38,83,84.0,78,79,72,84,87,0.55,0.0881,6.8,0.6,2.01,2.61,UEFA,B
S. Nzonzi,Steven N'Kemboanza Mike Christopher Nzonzi,France,"CDM,CM",Midfielder,37,81,84.0,50,70,53,70,73,0.72,0.0884,6.8,0.6,1.79,2.39,UEFA,B
E. Fernandes,Edimilson Fernandes,Switzerland,"CAM,CM,RWB",Midfielder,29,71,77.0,62,65,78,73,69,0.95,0.1278,4.5,0.58,1.12,1.69,UEFA,A
M. Sabitzer,Marcel Sabitzer,Austria,"CAM,CM",Midfielder,31,81,77.0,79,81,77,79,79,0.95,0.1538,3.8,0.58,1.02,1.6,UEFA,J
Laure Santeiro,Laureano Thomas Santeiro Marre,Brazil,"CAM,LW",Midfielder,38,81,81.0,72,82,78,82,80,0.55,0.0842,6.8,0.57,1.9,2.47,CONMEBOL,A
L. Torreira,Lucas Torreira Di Pascua,Uruguay,"CDM,CM",Midfielder,30,82,81.0,50,65,74,78,74,0.95,0.1261,4.5,0.57,1.22,1.79,CONMEBOL,G
T. Delaney,Thomas Delaney,Denmark,"CDM,CM",Midfielder,34,82,78.0,72,75,78,73,77,0.85,0.1266,4.5,0.57,1.22,1.79,UEFA,B
R. Bentancur,Rodrigo Bentancur Colmán,Uruguay,CM,Midfielder,28,78,81.0,53,60,75,84,76,1.0,0.1273,4.5,0.57,1.26,1.83,CONMEBOL,G
C. Pulisic,Christian Pulisic,USA,"RM,LM",Midfielder,27,78,74.0,66,70,88,85,76,1.0,0.1466,3.8,0.56,0.97,1.52,CONCACAF,E
D. Zakaria,Denis Lemi Zakaria Lako Lado,Switzerland,"CM,CDM",Midfielder,29,77,77.0,60,63,86,74,76,0.95,0.1253,4.5,0.56,1.22,1.79,UEFA,A
J. Lerma,Jefferson Andrés Lerma Solís,Colombia,"CDM,CM",Midfielder,31,79,79.0,56,58,76,69,68,0.95,0.1245,4.5,0.56,1.14,1.7,CONMEBOL,F
M. Gregoritsch,Michael Gregoritsch,Austria,"CAM,ST",Midfielder,31,79,77.0,79,78,68,75,74,0.95,0.1481,3.8,0.56,0.99,1.55,UEFA,J
P. Zieliński,Piotr Zieliński,Poland,"CM,LM",Midfielder,31,82,77.0,68,77,84,85,83,0.95,0.1447,3.8,0.55,1.1,1.65,UEFA,I
M. Vecino,Matias Vecino,Uruguay,"CDM,CM",Midfielder,34,80,81.0,61,74,69,84,81,0.85,0.1232,4.5,0.55,1.28,1.84,CONMEBOL,G
R. Freuler,Remo Freuler,Switzerland,CM,Midfielder,33,77,77.0,65,76,69,75,74,0.85,0.1205,4.5,0.54,1.19,1.73,UEFA,A
B. Matuidi,Blaise Matuidi,France,"CDM,CM",Midfielder,38,85,84.0,64,72,77,78,76,0.55,0.0791,6.8,0.54,1.87,2.41,UEFA,B
L. Lerager,Lukas Reiff Lerager,Denmark,"CM,CDM",Midfielder,32,75,78.0,66,72,67,68,74,0.85,0.1173,4.5,0.53,1.16,1.68,UEFA,B
Y. Yazıcı,Yusuf Yazıcı,Turkey,"CAM,CM,RM",Midfielder,29,76,76.0,71,74,75,78,76,0.95,0.1407,3.8,0.53,1.0,1.53,UEFA,K
Simão Acunha,Simão Alvin Acunha Bardini,Brazil,"CAM,ST,RM",Midfielder,38,77,81.0,66,67,77,76,80,0.55,0.0777,6.8,0.53,1.85,2.38,CONMEBOL,A
D. Laxalt,Diego Laxalt,Uruguay,LM,Midfielder,33,78,81.0,60,68,90,77,68,0.85,0.1175,4.5,0.53,1.15,1.68,CONMEBOL,G
Melvin Parrela,Melvin Luan Parrela Porfírio,Brazil,"CDM,CM",Midfielder,38,79,81.0,68,67,78,72,72,0.55,0.0763,6.8,0.52,1.76,2.28,CONMEBOL,A
E. Gutiérrez,Erick Gutiérrez,Mexico,CM,Midfielder,30,77,77.0,68,67,76,74,76,0.95,0.1359,3.8,0.52,1.02,1.54,CONCACAF,F
O. Yokuşlu,Okay Yokuşlu,Turkey,"CDM,CB",Midfielder,31,77,76.0,65,68,74,74,71,0.95,0.1341,3.8,0.51,0.97,1.48,UEFA,K
L. Schaub,Louis Schaub,Austria,"CAM,RM",Midfielder,31,75,77.0,69,67,77,83,74,0.95,0.1341,3.8,0.51,0.97,1.48,UEFA,J
W. McKennie,Weston McKennie,USA,"CM,CDM,CAM,RM",Midfielder,27,75,74.0,56,73,66,74,74,1.0,0.134,3.8,0.51,0.97,1.48,CONCACAF,E
G. Xhaka,Granit Xhaka,Switzerland,"CM,CDM",Midfielder,33,81,77.0,49,75,49,70,81,0.85,0.114,4.5,0.51,1.29,1.81,UEFA,A
I. Kahveci,İrfan Can Kahveci,Turkey,"CAM,CM,LM",Midfielder,30,75,76.0,65,67,78,80,75,0.95,0.1327,3.8,0.5,1.01,1.51,UEFA,K
P. Arriola,Paul Joseph Arriola Hendricks,USA,"RM,RB",Midfielder,31,72,74.0,66,68,83,74,70,0.95,0.132,3.8,0.5,0.9,1.4,CONCACAF,E
J. Cuadrado,Juan Cuadrado,Colombia,"RM,RW",Midfielder,37,84,79.0,67,78,93,90,76,0.72,0.1122,4.5,0.5,1.22,1.72,CONMEBOL,F
E. Forsberg,Emil Forsberg,Sweden,"CAM,LM",Midfielder,34,82,76.0,70,75,70,82,83,0.85,0.1273,3.8,0.48,1.07,1.56,UEFA,L
P. Frankowski,Przemysław Frankowski,Poland,RM,Midfielder,30,71,77.0,69,65,92,64,57,0.95,0.1266,3.8,0.48,0.84,1.32,UEFA,I
C. Roldan,Cristian Roldan,USA,"CDM,CM,RM",Midfielder,30,73,74.0,63,67,69,70,68,0.95,0.1269,3.8,0.48,0.93,1.41,CONCACAF,E
F. Grillitsch,Florian Grillitsch,Austria,"CM,CDM",Midfielder,30,77,77.0,58,70,63,76,78,0.95,0.125,3.8,0.48,1.04,1.52,UEFA,J
A. Schöpf,Alessandro Schöpf,Austria,"RM,RWB,RW,CM",Midfielder,32,77,77.0,72,74,77,80,65,0.85,0.125,3.8,0.47,0.92,1.39,UEFA,J
F. Kainz,Florian Kainz,Austria,"LM,CM,CAM",Midfielder,33,75,77.0,71,67,77,80,65,0.85,0.1235,3.8,0.47,0.93,1.39,UEFA,J
Rosberto Dourado,Rosberto J. Dourado Santos,Brazil,"CDM,CM",Midfielder,38,82,81.0,53,58,81,77,77,0.55,0.0682,6.8,0.46,1.87,2.34,CONMEBOL,A
B. Özcan,Berkay Özcan,Turkey,"CAM,LM,LW",Midfielder,28,71,76.0,56,62,65,76,75,1.0,0.1221,3.8,0.46,0.97,1.43,UEFA,K
P. Žulj,Peter Žulj,Austria,"CM,CDM,CAM",Midfielder,32,74,77.0,65,78,66,74,77,0.85,0.1219,3.8,0.46,1.0,1.46,UEFA,J
S. Gürler,Serdar Gürler,Turkey,"RM,RW,ST,CAM",Midfielder,34,72,76.0,69,72,79,74,70,0.85,0.1216,3.8,0.46,0.91,1.37,UEFA,K
Trezeguet,Mahmoud Hassan,Egypt,"LM,CAM,RM",Midfielder,31,78,73.0,75,69,85,83,69,0.95,0.143,3.2,0.46,0.82,1.28,CAF,L
D. Brooks,David Brooks,Wales,"RM,CAM",Midfielder,28,75,75.0,71,71,76,77,76,1.0,0.142,3.2,0.45,0.83,1.28,UEFA,E
F. Kessié,Franck Yannick Kessié,Ivory Coast,CM,Midfielder,29,79,75.0,64,76,77,78,71,0.95,0.1392,3.2,0.45,0.84,1.28,CAF,J
A. Davies,Alphonso Davies,Canada,"LM,RM",Midfielder,25,72,70.0,64,65,93,76,65,1.0,0.1381,3.2,0.44,0.71,1.15,CONCACAF,I
S. Lletget,Sebastian  Lletget,USA,"CAM,CM,LM,RM",Midfielder,33,72,74.0,64,67,76,76,67,0.85,0.1145,3.8,0.44,0.93,1.37,CONCACAF,E
T. Adams,Tyler Adams,USA,"CDM,RWB",Midfielder,27,72,74.0,46,65,79,69,66,1.0,0.1149,3.8,0.44,0.9,1.33,CONCACAF,E
M. Rohdén,Marcus Rohdén,Sweden,"CM,RM",Midfielder,34,71,76.0,63,67,71,68,67,0.85,0.1149,3.8,0.44,0.92,1.35,UEFA,L
D. Kądzior,Damian Kądzior,Poland,RM,Midfielder,33,72,77.0,65,63,78,72,70,0.85,0.1143,3.8,0.43,0.93,1.36,UEFA,I
B. Woodburn,Ben Woodburn,Wales,"CAM,LW,ST",Midfielder,26,68,75.0,62,67,73,70,58,1.0,0.133,3.2,0.43,0.7,1.12,UEFA,E
P. Kunde Malong,Pierre Kunde Malong,Cameroon,"CDM,CM",Midfielder,30,74,75.0,64,63,78,70,67,0.95,0.1325,3.2,0.42,0.8,1.23,CAF,C
T. Rogić,Tom Rogić,Australia,"CAM,CM",Midfielder,33,76,73.0,70,75,66,82,73,0.85,0.1288,3.2,0.41,0.83,1.24,AFC,H
M. Fabián,Marco Jhonfai Fabián De La Mora,Mexico,"CAM,RM,CF",Midfielder,36,76,77.0,72,73,65,78,74,0.72,0.1076,3.8,0.41,1.0,1.41,CONCACAF,F
O. Hiljemark,Oscar Hiljemark,Sweden,"CM,CDM",Midfielder,33,74,76.0,48,65,69,72,69,0.85,0.1089,3.8,0.41,0.97,1.39,UEFA,L
K. Grosicki,Kamil Grosicki,Poland,LM,Midfielder,37,73,77.0,68,72,77,70,73,0.72,0.1038,3.8,0.39,0.94,1.34,UEFA,I
A. Polo,Andy Polo,Peru,"RM,CM,LM",Midfielder,31,69,73.0,62,63,89,66,61,0.95,0.1225,3.2,0.39,0.7,1.09,CONMEBOL,B
M. Klich,Mateusz Klich,Poland,CM,Midfielder,35,73,77.0,69,74,59,70,72,0.72,0.1014,3.8,0.39,0.97,1.36,UEFA,I
R. Thomas,Ryan Thomas,New Zealand,CM,Midfielder,31,75,66.0,52,64,75,78,78,0.95,0.1228,3.2,0.39,0.86,1.25,OFC,L
J. Durmaz,Jimmy Durmaz,Sweden,"CAM,LW,RW",Midfielder,36,74,76.0,69,66,69,79,72,0.72,0.103,3.8,0.39,0.98,1.37,UEFA,L
R. Ibarra,Romario Ibarra,Ecuador,"LM,LW",Midfielder,31,69,72.0,64,62,90,67,55,0.95,0.1228,3.2,0.39,0.7,1.1,CONMEBOL,D
P. Ntep,Paul-Georges Ntep de Madiba,Cameroon,"LM,LW,ST",Midfielder,33,75,75.0,65,71,79,80,66,0.85,0.1212,3.2,0.39,0.78,1.17,CAF,C
J. Irvine,Jackson Irvine,Australia,"CAM,CM,CDM",Midfielder,33,71,73.0,70,71,68,67,71,0.85,0.1198,3.2,0.38,0.77,1.15,AFC,H
J. dos Santos,Jonathan dos Santos Ramírez,Mexico,"CM,RM",Midfielder,35,77,77.0,61,73,68,78,75,0.72,0.101,3.8,0.38,1.03,1.41,CONCACAF,F
D. Moreno,Didier Andrés Moreno Asprilla,Colombia,"CDM,CM",Midfielder,34,70,79.0,30,53,69,57,62,0.85,0.0815,4.5,0.37,1.0,1.37,CONMEBOL,F
Y. Herrera,Yangel Herrera,Venezuela,"CDM,CM",Midfielder,28,68,73.0,49,60,61,64,62,1.0,0.1142,3.2,0.37,0.72,1.09,CONMEBOL,J
J. Osorio,Jonathan Osorio,Canada,"CM,CAM,LM",Midfielder,33,71,70.0,67,69,67,73,69,0.85,0.117,3.2,0.37,0.79,1.17,CONCACAF,I
A. Ekdal,Albin Ekdal,Sweden,"CM,CDM",Midfielder,36,77,76.0,60,70,52,74,75,0.72,0.0967,3.8,0.37,1.02,1.39,UEFA,L
S. Méndez,Sebastián Méndez,Ecuador,CDM,Midfielder,28,65,72.0,56,52,71,58,55,1.0,0.1154,3.2,0.37,0.69,1.06,CONMEBOL,D
W. Trapp,Wil Trapp,USA,CDM,Midfielder,33,73,74.0,43,55,63,67,69,0.85,0.0968,3.8,0.37,0.97,1.34,CONCACAF,E
F. Olinga,Fabrice Olinga Essono,Cameroon,"LM,RM",Midfielder,29,66,75.0,48,58,76,76,57,0.95,0.1148,3.2,0.37,0.68,1.04,CAF,C
A. Ramsey,Aaron Ramsey,Wales,"CM,CDM,CAM",Midfielder,35,82,75.0,74,84,69,81,79,0.72,0.1123,3.2,0.36,0.91,1.27,UEFA,E
R. Tapia,Renato Tapia,Peru,"CDM,CM",Midfielder,30,74,73.0,44,60,66,74,66,0.95,0.1138,3.2,0.36,0.79,1.15,CONMEBOL,B
M. Luongo,Massimo  Luongo,Australia,"CDM,CM",Midfielder,33,73,73.0,63,65,74,71,69,0.85,0.1133,3.2,0.36,0.78,1.14,AFC,H
T. Touré,Thomas Touré,Ivory Coast,"LM,ST,RM,CAM",Midfielder,32,69,75.0,61,65,75,71,67,0.85,0.1115,3.2,0.36,0.76,1.12,CAF,J
A. Zambo Anguissa,André Franck Zambo Anguissa,Cameroon,"CDM,CM",Midfielder,30,73,75.0,42,63,69,72,72,0.95,0.1126,3.2,0.36,0.79,1.15,CAF,C
M. Elneny,Mohamed Elneny,Egypt,"CDM,CM",Midfielder,33,77,73.0,57,63,60,68,70,0.85,0.11,3.2,0.35,0.82,1.18,CAF,L
V. Angban,Victorien Angban,Ivory Coast,"CM,CDM",Midfielder,29,71,75.0,47,57,65,69,69,0.95,0.1095,3.2,0.35,0.8,1.15,CAF,J
M. Jensen,Mike Lindemann Jensen,Denmark,CM,Midfielder,38,74,78.0,65,68,73,75,72,0.55,0.0777,4.5,0.35,1.15,1.5,UEFA,B
M. Kaye,Mark-Anthony Kaye,Canada,"CM,CAM",Midfielder,31,69,70.0,47,57,76,68,65,0.95,0.1093,3.2,0.35,0.76,1.11,CONCACAF,I
C. Doukouré,Cheick Doukouré,Ivory Coast,"CDM,CM",Midfielder,33,73,75.0,58,64,74,65,63,0.85,0.11,3.2,0.35,0.74,1.09,CAF,J
J. Fernandes,Júnior Fernandes,Chile,"LM,RM,ST",Midfielder,37,75,77.0,76,76,79,78,69,0.72,0.1095,3.2,0.35,0.78,1.13,CONMEBOL,C
J. Montero,Jefferson Antonio Montero Vite,Ecuador,"LM,LW",Midfielder,36,75,72.0,66,71,90,81,72,0.72,0.105,3.2,0.34,0.79,1.13,CONMEBOL,D
M. Leckie,Mathew Leckie,Australia,"RM,LM,RW",Midfielder,35,75,73.0,68,73,89,76,65,0.72,0.1048,3.2,0.34,0.73,1.06,AFC,H
M. Amini,Mustafa Amini,Australia,CM,Midfielder,32,65,73.0,55,63,61,66,67,0.85,0.1057,3.2,0.34,0.75,1.09,AFC,H
C. Aránguiz,Charles Mariano Aránguiz Sandoval,Chile,"CM,CDM",Midfielder,36,81,77.0,64,75,60,75,81,0.72,0.105,3.2,0.34,0.92,1.25,CONMEBOL,C
R. Kruse,Robbie Kruse,Australia,"RM,LM",Midfielder,37,72,73.0,73,76,80,70,68,0.72,0.105,3.2,0.34,0.74,1.08,AFC,H
P. Hurtado,Christopher Paolo César Hurtado Huertas,Peru,CAM,Midfielder,35,75,73.0,72,72,83,75,74,0.72,0.1062,3.2,0.34,0.82,1.16,CONMEBOL,B
E. Pulgar,Erick Pulgar,Chile,"CDM,CM",Midfielder,32,77,77.0,44,58,67,74,74,0.85,0.1021,3.2,0.33,0.84,1.16,CONMEBOL,C
F. Gutiérrez,Felipe Alejandro Gutiérrez Leiva,Chile,"CM,CAM,CDM",Midfielder,35,75,77.0,68,72,66,70,73,0.72,0.1018,3.2,0.33,0.83,1.15,CONMEBOL,C
S. Arfield,Scott Arfield,Canada,"CM,LM",Midfielder,37,74,70.0,70,74,67,73,74,0.72,0.1027,3.2,0.33,0.83,1.16,CONCACAF,I
A. King,Andy King,Wales,CM,Midfielder,37,71,75.0,68,72,60,69,69,0.72,0.1001,3.2,0.32,0.78,1.1,UEFA,E
C. Gruezo,Carlos Armando Gruezo Arboleda,Ecuador,"CDM,CM",Midfielder,30,72,72.0,41,55,60,60,58,0.95,0.1013,3.2,0.32,0.73,1.06,CONMEBOL,D
R. Teibert,Russell Teibert,Canada,"CDM,CM",Midfielder,33,66,70.0,53,52,64,66,61,0.85,0.0984,3.2,0.32,0.73,1.05,CONCACAF,I
S. Morsy,Sam Morsy,Egypt,"CDM,CM",Midfielder,34,70,73.0,53,60,67,69,68,0.85,0.1014,3.2,0.32,0.77,1.09,CAF,L
S. Piette,Samuel Piette,Canada,"CDM,CM",Midfielder,31,71,70.0,43,41,65,60,59,0.95,0.0985,3.2,0.32,0.71,1.03,CONCACAF,I
J. Allen,Joe Allen,Wales,"CM,CAM",Midfielder,35,76,75.0,68,71,68,74,73,0.72,0.1,3.2,0.32,0.83,1.15,UEFA,E
J. Moreno,Junior Leonardo Moreno Borrero,Venezuela,CDM,Midfielder,32,68,73.0,51,39,65,60,54,0.85,0.0914,3.2,0.29,0.7,0.99,CONMEBOL,J
A. Djoum,Gilles Arnaud Sutchuin Djoum,Cameroon,"CM,CAM,LM,CDM",Midfielder,36,67,75.0,60,63,65,66,65,0.72,0.0912,3.2,0.29,0.74,1.04,CAF,C
A. Vidal,Arturo Vidal,Chile,"CM,CDM",Midfielder,38,85,77.0,75,83,62,77,82,0.55,0.0871,3.2,0.28,0.92,1.2,CONMEBOL,C
S. Ilsanker,Stefan Ilsanker,Austria,"CDM,CB,RB",Midfielder,36,75,77.0,45,46,77,50,56,0.72,0.0732,3.8,0.28,0.82,1.1,UEFA,J
M. Bradley,Michael Bradley,USA,"CDM,CM",Midfielder,38,76,74.0,57,63,64,73,73,0.55,0.0722,3.8,0.27,1.01,1.29,CONCACAF,E
M. Tekdemir,Mahmut Tekdemir,Turkey,"CDM,CB",Midfielder,38,73,76.0,53,53,59,67,59,0.55,0.0664,3.8,0.25,0.89,1.14,UEFA,K
J. Baumgartlinger,Julian Baumgartlinger,Austria,CDM,Midfielder,38,78,77.0,39,62,71,65,64,0.55,0.0624,3.8,0.24,0.94,1.18,UEFA,J
J. Kimmich,Joshua Kimmich,Germany,"RB,CM,CDM",Defender,31,86,85.0,66,80,68,80,79,0.95,0.0354,6.8,0.24,0.45,0.69,UEFA,F
Gayà,José Luís Gayà Peña,Spain,LB,Defender,30,80,85.0,61,74,87,77,72,0.95,0.0328,6.8,0.22,0.41,0.64,UEFA,C
T. Meunier,Thomas Meunier,Belgium,"RB,RM",Defender,34,82,85.0,76,80,81,75,71,0.85,0.0328,6.8,0.22,0.41,0.63,UEFA,G
T. Rincón,Tomás Eduardo Rincón Hernández,Venezuela,"CM,CDM",Midfielder,38,77,73.0,45,66,69,76,72,0.55,0.0702,3.2,0.22,0.84,1.06,CONMEBOL,J
João Cancelo,João Pedro Cavaco Cancelo,Portugal,RB,Defender,31,83,82.0,58,78,91,85,74,0.95,0.0348,6.0,0.21,0.37,0.58,UEFA,G
T. Alexander-Arnold,Trent Alexander-Arnold,England,RB,Defender,27,79,82.0,56,66,79,75,72,1.0,0.0334,6.0,0.2,0.36,0.56,UEFA,E
D. Sidibé,Djibril Sidibé,France,"RB,LB",Defender,33,79,84.0,62,75,79,77,69,0.85,0.0298,6.8,0.2,0.4,0.6,UEFA,B
L. Hernández,Lucas Hernández,France,"LB,CB",Defender,30,83,84.0,53,60,84,65,61,0.95,0.029,6.8,0.2,0.37,0.56,UEFA,B
Sergi Roberto,Sergio Roberto Carnicer,Spain,"RB,RM,CM",Defender,34,83,85.0,63,69,79,80,83,0.85,0.0295,6.8,0.2,0.45,0.65,UEFA,C
A. Florenzi,Alessandro  Florenzi,Italy,"RB,RW,LW",Defender,34,82,83.0,70,82,84,78,76,0.85,0.033,6.0,0.2,0.37,0.56,UEFA,H
G. Medel,Gary Alexis Medel Soto,Chile,"CDM,CB",Midfielder,38,79,77.0,31,58,70,63,68,0.55,0.0584,3.2,0.19,0.8,0.99,CONMEBOL,C
Jordi Alba,Jordi Alba Ramos,Spain,LB,Defender,36,87,85.0,73,80,93,80,76,0.72,0.0273,6.8,0.19,0.43,0.61,UEFA,C
N. Tagliafico,Nicolás Alejandro Tagliafico,Argentina,LB,Defender,33,80,82.0,57,67,86,74,68,0.85,0.0276,6.8,0.19,0.38,0.57,CONMEBOL,D
L. Digne,Lucas Digne,France,LB,Defender,32,81,84.0,52,69,75,77,72,0.85,0.0287,6.8,0.19,0.41,0.6,UEFA,B
M. de Ligt,Matthijs de Ligt,Netherlands,CB,Defender,26,83,81.0,53,44,72,65,63,1.0,0.0294,6.0,0.18,0.33,0.51,UEFA,D
B. Chilwell,Ben Chilwell,England,LB,Defender,29,78,82.0,43,74,82,77,66,0.95,0.0297,6.0,0.18,0.34,0.51,UEFA,E
Carvajal,Daniel Carvajal Ramos,Spain,RB,Defender,34,85,85.0,41,72,85,78,70,0.85,0.026,6.8,0.18,0.41,0.59,UEFA,C
M. Plattenhardt,Marvin Plattenhardt,Germany,"LB,LM",Defender,34,77,85.0,43,67,74,75,65,0.85,0.0266,6.8,0.18,0.38,0.57,UEFA,F
K. Zouma,Kurt Happy Zouma,France,CB,Defender,31,79,84.0,47,53,70,50,59,0.95,0.0254,6.8,0.17,0.32,0.5,UEFA,B
M. Ginter,Matthias Ginter,Germany,"CB,CDM",Defender,32,81,85.0,55,55,69,62,69,0.85,0.0253,6.8,0.17,0.39,0.56,UEFA,F
Cédric,Cédric Ricardo Alves Soares,Portugal,"RB,RWB",Defender,34,77,82.0,57,71,78,75,65,0.85,0.0292,6.0,0.17,0.34,0.51,UEFA,G
B. Pavard,Benjamin Pavard,France,"CB,RB",Defender,29,79,84.0,37,54,73,66,66,0.95,0.0253,6.8,0.17,0.39,0.57,UEFA,B
D. Dumfries,Denzel Dumfries,Netherlands,RB,Defender,29,76,81.0,47,69,84,71,58,0.95,0.0289,6.0,0.17,0.31,0.48,UEFA,D
Iñigo Martínez,Íñigo Martínez Berridi,Spain,CB,Defender,34,80,85.0,42,48,74,53,46,0.85,0.0237,6.8,0.16,0.33,0.49,UEFA,C
N. Aké,Nathan Aké,Netherlands,CB,Defender,31,80,81.0,45,53,74,67,65,0.95,0.027,6.0,0.16,0.34,0.5,UEFA,D
J. Hector,Jonas Hector,Germany,"LB,CDM",Defender,35,79,85.0,55,62,77,74,72,0.72,0.0231,6.8,0.16,0.4,0.56,UEFA,F
K. Tete,Kenny Tete,Netherlands,"RB,RWB",Defender,30,77,81.0,42,60,79,65,60,0.95,0.0264,6.0,0.16,0.31,0.47,UEFA,D
P. van Aanholt,Patrick  van Aanholt,Netherlands,LB,Defender,35,76,81.0,66,75,89,76,68,0.72,0.0262,6.0,0.16,0.34,0.5,UEFA,D
K. Walker,Kyle Walker,England,RB,Defender,35,84,82.0,51,67,93,79,69,0.72,0.0245,6.0,0.15,0.35,0.5,UEFA,E
D. Rose,Danny Rose,England,"LB,LWB",Defender,35,81,82.0,57,68,78,80,73,0.72,0.0242,6.0,0.15,0.35,0.5,UEFA,E
M. Hummels,Mats  Hummels,Germany,CB,Defender,37,88,85.0,55,56,62,68,79,0.72,0.022,6.8,0.15,0.43,0.58,UEFA,F
R. Varane,Raphaël Varane,France,CB,Defender,32,86,84.0,40,44,85,57,56,0.85,0.0218,6.8,0.15,0.36,0.51,UEFA,B
Azpilicueta,César Azpilicueta Tanco,Spain,"RB,CB",Defender,36,86,85.0,46,62,76,69,74,0.72,0.0219,6.8,0.15,0.42,0.57,UEFA,C
V. van Dijk,Virgil van Dijk,Netherlands,CB,Defender,34,88,81.0,52,41,77,70,60,0.85,0.0254,6.0,0.15,0.34,0.49,UEFA,D
G. Pezzella,Germán Alejandro Pezzella,Argentina,CB,Defender,34,80,82.0,48,47,58,54,22,0.85,0.0217,6.8,0.15,0.24,0.39,CONMEBOL,D
P. Kimpembe,Presnel Kimpembe,France,CB,Defender,30,83,84.0,31,39,78,58,60,0.95,0.0222,6.8,0.15,0.37,0.52,UEFA,B
C. Biraghi,Cristiano Biraghi,Italy,"LB,LM",Defender,33,76,83.0,40,58,78,71,56,0.85,0.0251,6.0,0.15,0.31,0.46,UEFA,H
T. Alderweireld,Toby Alderweireld,Belgium,CB,Defender,37,87,85.0,45,58,67,62,67,0.72,0.0213,6.8,0.14,0.4,0.55,UEFA,G
M. De Sciglio,Mattia De Sciglio,Italy,"RB,LB",Defender,33,78,83.0,33,64,79,74,60,0.85,0.024,6.0,0.14,0.32,0.47,UEFA,H
J. Gomez,Joe Gomez,England,"CB,RB",Defender,28,78,82.0,26,51,83,67,52,1.0,0.0227,6.0,0.14,0.29,0.43,UEFA,E
Everticinho,Everton Jorge Simão Resende,Brazil,"RB,RW,CM",Defender,38,78,81.0,69,76,76,76,64,0.55,0.0202,6.8,0.14,0.37,0.51,CONMEBOL,A
S. Zuber,Steven Zuber,Switzerland,"LWB,LM,LB,CM",Defender,34,76,77.0,63,74,79,78,72,0.85,0.0308,4.5,0.14,0.26,0.39,UEFA,A
J. Stones,John Stones,England,CB,Defender,31,83,82.0,29,48,71,69,67,0.95,0.0226,6.0,0.14,0.35,0.48,UEFA,E
Josué Chiamulera,Josué Durval Chiamulera Vaz,Brazil,CB,Defender,34,83,81.0,38,38,78,56,42,0.85,0.0203,6.8,0.14,0.31,0.45,CONMEBOL,A
A. Rüdiger,Antonio Rüdiger,Germany,CB,Defender,33,82,85.0,32,39,78,60,57,0.85,0.0206,6.8,0.14,0.36,0.5,UEFA,F
H. Maguire,Harry Maguire,England,CB,Defender,33,82,82.0,43,61,54,70,60,0.85,0.0238,6.0,0.14,0.33,0.47,UEFA,E
Mário Rui,Mário Rui Silva Duarte,Portugal,LB,Defender,34,79,82.0,27,59,83,79,64,0.85,0.0239,6.0,0.14,0.34,0.48,UEFA,G
K. Trippier,Kieran Trippier,England,"RB,RWB",Defender,35,82,82.0,48,75,75,75,80,0.72,0.024,6.0,0.14,0.38,0.52,UEFA,E
R. Rodríguez,Ricardo Rodríguez,Switzerland,"LB,CB",Defender,33,80,77.0,59,68,73,76,74,0.85,0.0292,4.5,0.13,0.27,0.41,UEFA,A
